STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR; REL_FEUCHTE; STRAHLUNGSTEMPERATUR; eor                                                                                    
    13667;  2021100515;   3;0;   17.6;   61;   17.8;eor                                                                                                                                                 
    13667;  2021100516;   3;0;   16.5;   64;   15.2;eor                                                                                                                                                 
    13667;  2021100517;   3;0;   14.4;   79;   13.1;eor                                                                                                                                                 
    13667;  2021100518;   3;0;   14.4;   75;   12.7;eor                                                                                                                                                 
    13667;  2021100519;   3;0;   14.0;   78;   12.8;eor                                                                                                                                                 
    13667;  2021100520;   3;0;   13.2;   72;   12.3;eor                                                                                                                                                 
    13667;  2021100521;   3;0;   12.5;   78;   11.0;eor                                                                                                                                                 
    13667;  2021100522;   3;0;   12.4;   82;   11.4;eor                                                                                                                                                 
    13667;  2021100523;   3;0;   11.8;   82;   10.6;eor                                                                                                                                                 
    13667;  2021100600;   3;0;   11.8;   81;   10.7;eor                                                                                                                                                 
    13667;  2021100601;   3;0;   11.4;   79;    9.6;eor                                                                                                                                                 
    13667;  2021100602;   3;0;   11.3;   77;    9.6;eor                                                                                                                                                 
    13667;  2021100603;   3;0;   11.3;   78;    9.9;eor                                                                                                                                                 
    13667;  2021100604;   3;0;   10.9;   78;    9.1;eor                                                                                                                                                 
    13667;  2021100605;   3;0;   10.3;   81;    8.3;eor                                                                                                                                                 
    13667;  2021100606;   3;0;   10.1;   80;    8.3;eor                                                                                                                                                 
    13667;  2021100607;   3;0;   12.0;   70;   19.8;eor                                                                                                                                                 
    13667;  2021100608;   3;0;   12.9;   67;   23.2;eor                                                                                                                                                 
    13667;  2021100609;   3;0;   13.9;   59;   23.5;eor                                                                                                                                                 
    13667;  2021100610;   3;0;   13.1;   67;   17.2;eor                                                                                                                                                 
    13667;  2021100611;   3;0;   13.6;   64;   15.9;eor                                                                                                                                                 
    13667;  2021100612;   3;0;   13.9;   60;   15.6;eor                                                                                                                                                 
    13667;  2021100613;   3;0;   13.4;   66;   13.9;eor                                                                                                                                                 
    13667;  2021100614;   3;0;   14.8;   57;   16.3;eor                                                                                                                                                 
    13667;  2021100615;   3;0;   14.5;   54;   15.5;eor                                                                                                                                                 
    13667;  2021100616;   3;0;   13.5;   63;   13.2;eor                                                                                                                                                 
    13667;  2021100617;   3;0;   12.3;   74;   10.8;eor                                                                                                                                                 
    13667;  2021100618;   3;0;   11.5;   82;   10.3;eor                                                                                                                                                 
    13667;  2021100619;   3;0;   11.3;   83;   10.5;eor                                                                                                                                                 
    13667;  2021100620;   3;0;   11.1;   85;   10.1;eor                                                                                                                                                 
    13667;  2021100621;   3;0;   10.7;   85;    9.9;eor                                                                                                                                                 
    13667;  2021100622;   3;0;   10.6;   90;    9.9;eor                                                                                                                                                 
    13667;  2021100623;   3;0;   10.2;   92;    9.6;eor                                                                                                                                                 
    13667;  2021100700;   3;0;    9.9;   92;    8.8;eor                                                                                                                                                 
    13667;  2021100701;   3;0;   10.2;   88;    9.6;eor                                                                                                                                                 
    13667;  2021100702;   3;0;   10.4;   85;    9.7;eor                                                                                                                                                 
    13667;  2021100703;   3;0;   10.1;   88;    9.2;eor                                                                                                                                                 
